DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ALFA ROMEO,147,2008,2010,"1.9 JTDM 16V (937.AXN1B, 937.AXZ1B) Diesel Front-Wheel Drive Hatchback",Diesel,Front-Wheel Drive,Hatchback,937_,937 A6.000,125,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,ALFA ROMEO,147,2008,2010,"1.9 JTDM 16V (937.AXN1B, 937.AXZ1B) Diesel Front-Wheel Drive Hatchback",Diesel,Front-Wheel Drive,Hatchback,937_,937 A6.000,125,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ALFA ROMEO,147,2005,2010,"1.9 JTDM 16V (937.AXN1B, 937.BXN1B) Diesel Front-Wheel Drive Hatchback",Diesel,Front-Wheel Drive,Hatchback,937_,937 A5.000,110,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,ALFA ROMEO,147,2005,2010,"1.9 JTDM 16V (937.AXN1B, 937.BXN1B) Diesel Front-Wheel Drive Hatchback",Diesel,Front-Wheel Drive,Hatchback,937_,937 A5.000,110,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ALFA ROMEO,147,2003,2010,3.2 GTA (937.AXL1) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,937_,932 A.000,184,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,ALFA ROMEO,147,2003,2010,3.2 GTA (937.AXL1) Petrol Front-Wheel Drive Hatchback,Petrol,Front-Wheel Drive,Hatchback,937_,932 A.000,184,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ALFA ROMEO,147,2001,2010,"2.0 16V T.SPARK (937.AXA1, 937.AXC1, 937.BXC1) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,937_,AR 32310,110,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,ALFA ROMEO,147,2001,2010,"2.0 16V T.SPARK (937.AXA1, 937.AXC1, 937.BXC1) Petrol Front-Wheel Drive Hatchback",Petrol,Front-Wheel Drive,Hatchback,937_,AR 32310,110,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ALFA ROMEO,156,2002,2006,2.0 JTS (932BXA) Petrol Front-Wheel Drive Wagon,Petrol,Front-Wheel Drive,Wagon,932_,937 A1.000,122,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,ALFA ROMEO,156,2002,2006,2.0 JTS (932BXA) Petrol Front-Wheel Drive Wagon,Petrol,Front-Wheel Drive,Wagon,932_,937 A1.000,122,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ALFA ROMEO,156,2002,2005,2.0 JTS (932AXA) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,932_,937 A1.000,122,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,ALFA ROMEO,156,2002,2005,2.0 JTS (932AXA) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,932_,937 A1.000,122,No
DIN65L MF,Hi Performance DIN (Car & Passenger Vehicle),12,63,277,175,175,C Polarity STD Terminal,580,120,30,Car & Passenger Vehicles,Hi Performance DIN,ALFA ROMEO,156,2002,2005,3.2 GTA (932AXB) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,932_,932 A.000,184,No
DIN65L MF,Hi Performance DIN (Car & Passenger Vehicle),12,63,277,175,175,C Polarity STD Terminal,580,120,30,Car & Passenger Vehicles,Hi Performance DIN,ALFA ROMEO,156,2000,2005,2.5 V6 24V (932A11_) Petrol Front-Wheel Drive Sedan,Petrol,Front-Wheel Drive,Sedan,932_,AR 32405,141,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ALFA ROMEO,156,2001,2002,#NAME?,Petrol,Front-Wheel Drive,Convertible,932_,,114,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,ALFA ROMEO,156,2001,2002,#NAME?,Petrol,Front-Wheel Drive,Convertible,932_,,114,No
DIN53LX MF,Ultra Hi Performance DIN (Car & Passenger Vehicle),12,60,242,175,175,C Polarity STD Terminal,600,105,40,Car & Passenger Vehicles,Ultra Hi Performance DIN,ALFA ROMEO,156,2000,2002,2.0 16V T.SPARK (932A2) Petrol Front-Wheel Drive Wagon,Petrol,Front-Wheel Drive,Wagon,932_,"AR 32301,AR 32310",114,No
DIN53L MF,Hi Performance DIN (Car & Passenger Vehicle),12,54,242,175,175,C Polarity STD Terminal,500,90,30,Car & Passenger Vehicles,Hi Performance DIN,ALFA ROMEO,156,2000,2002,2.0 16V T.SPARK (932A2) Petrol Front-Wheel Drive Wagon,Petrol,Front-Wheel Drive,Wagon,932_,"AR 32301,AR 32310",114,No
